station_id,station_name,station_latitude,station_longitude
167,E 39 St & 3 Ave,40.7489006,-73.97604882
404,9 Ave & W 14 St,40.7405826,-74.00550867
2010,Grand St & Greene St,40.72165481,-74.00234737
513,W 56 St & 10 Ave,40.768254,-73.988639
251,Mott St & Prince St,40.72317958,-73.99480012
389,Broadway & Berry St,40.71044554,-73.96525063
144,Nassau St & Navy St,40.69839895,-73.98068914
233,Joralemon St & Adams St,40.69246277,-73.98963911
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628
262,Washington Park,40.69178232,-73.97372989
325,E 19 St & 3 Ave,40.73624527,-73.98473765
480,W 53 St & 10 Ave,40.76669671,-73.99061728
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682
469,Broadway & W 53 St,40.76344058,-73.98268129
397,Fulton St & Clermont Ave,40.68415748,-73.96922273
223,W 13 St & 7 Ave,40.73781509,-73.99994661
316,Fulton St & William St,40.70955958,-74.00653609
411,E 6 St & Avenue D,40.72228087,-73.97668709
382,University Pl & E 14 St,40.73492695,-73.99200509
498,Broadway & W 32 St,40.74854862,-73.98808416
291,Madison St & Montgomery St,40.713126,-73.984844
2000,Front St & Washington St,40.70255088,-73.98940236
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772
218,Gallatin Pl & Livingston St,40.69028437,-73.98707105
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896
305,E 58 St & 3 Ave,40.76095756,-73.96724467
72,W 52 St & 11 Ave,40.76727216,-73.99392888
358,Christopher St & Greenwich St,40.73291553,-74.00711384
392,Jay St & Tech Pl,40.695065,-73.987167
391,Clark St & Henry St,40.69760127,-73.99344559
505,6 Ave & W 33 St,40.74901271,-73.98848395
534,Water - Whitehall Plaza,40.70255065,-74.0127234
536,1 Ave & E 30 St,40.74144387,-73.97536082
296,Division St & Bowery,40.71413089,-73.9970468
486,Broadway & W 29 St,40.7462009,-73.98855723
474,5 Ave & E 29 St,40.7451677,-73.98683077
344,Monroe St & Bedford Ave,40.6851443,-73.95380904
514,12 Ave & W 40 St,40.76087502,-74.00277668
282,Kent Ave & S 11 St,40.70827295,-73.96834101
432,E 7 St & Avenue A,40.72621788,-73.98379855
143,Clinton St & Joralemon St,40.69239502,-73.99337909
538,W 49 St & 5 Ave,40.75795248,-73.97787642
119,Park Ave & St Edwards St,40.69608941,-73.97803415
419,Carlton Ave & Park Ave,40.69580705,-73.97355569
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956
266,Avenue D & E 8 St,40.72368361,-73.97574813
443,Bedford Ave & S 9th St,40.70853074,-73.96408963
502,Henry St & Grand St,40.714215,-73.981346
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995
426,West St & Chambers St,40.71754834,-74.01322069
515,W 43 St & 10 Ave,40.76009437,-73.99461843
319,Park Pl & Church St,40.71336124,-74.00937622
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913
315,South St & Gouverneur Ln,40.70355377,-74.00670227
430,York St & Jay St,40.7014851,-73.98656928
465,Broadway & W 41 St,40.75513557,-73.98658032
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
463,9 Ave & W 16 St,40.74206539,-74.00443172
250,Lafayette St & Jersey St,40.72456089,-73.99565293
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
461,E 20 St & 2 Ave,40.73587678,-73.98205027
531,Forsyth St & Broome St,40.71893904,-73.99266288
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854
229,Great Jones St,40.72743423,-73.99379025
433,E 13 St & Avenue A,40.72955361,-73.98057249
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366
